[
Algorithm_Name,K,Use_Weighted_KNN,FirstChoiceAccuracy,TopTwoAccuracy
weighted_overlap,1,false,false,0.6926626672819566,0.6985848331025996
standard_overlap,1,false,false,0.4985386863559452,0.5062298107983387
weighted_overlap,1,false,true,0.6926626672819566,0.6985848331025996
standard_overlap,1,false,true,0.4985386863559452,0.5062298107983387
weighted_overlap,1,true,false,0.6926626672819566,0.6985848331025996
standard_overlap,1,true,false,0.4985386863559452,0.5062298107983387
weighted_overlap,1,true,true,0.6926626672819566,0.6985848331025996
standard_overlap,1,true,true,0.4985386863559452,0.5062298107983387
weighted_overlap,2,false,false,0.6750499923088755,0.7894170127672666
standard_overlap,2,false,false,0.4710813720966005,0.6376711275188433
weighted_overlap,2,false,true,0.6645900630672205,0.7894170127672666
standard_overlap,2,false,true,0.44639286263651745,0.6376711275188433
weighted_overlap,2,true,false,0.6573604060913706,0.7894170127672666
standard_overlap,2,true,false,0.4920012305799108,0.6376711275188433
weighted_overlap,2,true,true,0.6591293647131211,0.7894170127672666
standard_overlap,2,true,true,0.45831410552222734,0.6376711275188433
weighted_overlap,4,false,false,0.7156591293647131,0.8088755576065221
standard_overlap,4,false,false,0.5468389478541763,0.6622827257345024
weighted_overlap,4,false,true,0.6400553760959853,0.799415474542378
standard_overlap,4,false,true,0.4071681279803107,0.6245962159667744
weighted_overlap,4,true,false,0.7080449161667436,0.8002614982310414
standard_overlap,4,true,false,0.5423780956775881,0.6709736963544071
weighted_overlap,4,true,true,0.6365174588524842,0.7942624211659745
standard_overlap,4,true,true,0.43816335948315643,0.636748192585756
weighted_overlap,8,false,false,0.7297338870942932,0.8311798184894632
standard_overlap,8,false,false,0.5850638363328718,0.7137363482541148
weighted_overlap,8,false,true,0.639055529918474,0.7836486694354715
standard_overlap,8,false,true,0.4047069681587448,0.6031379787724965
weighted_overlap,8,true,false,0.7221196738963236,0.8238732502691893
standard_overlap,8,true,false,0.5787571142901092,0.7136594370096908
weighted_overlap,8,true,true,0.6322104291647439,0.7771881249038609
standard_overlap,8,true,true,0.4378557145054607,0.6257498846331334
weighted_overlap,16,false,false,0.7261959698507922,0.8404860790647593
standard_overlap,16,false,false,0.6048300261498231,0.7415782187355792
weighted_overlap,16,false,true,0.6588986309798492,0.7832641132133518
standard_overlap,16,false,true,0.43931702814951545,0.6149053991693586
weighted_overlap,16,true,false,0.715812951853561,0.8304107060452238
standard_overlap,16,true,false,0.5987540378403322,0.7421165974465467
weighted_overlap,16,true,true,0.6437471158283341,0.7750346100599907
standard_overlap,16,true,true,0.46823565605291495,0.6380556837409629
weighted_overlap,32,false,false,0.7080449161667436,0.8377941855099216
standard_overlap,32,false,false,0.6094447008152591,0.7513459467774188
weighted_overlap,32,false,true,0.6645900630672205,0.788955545300723
standard_overlap,32,false,true,0.46708198738655593,0.6408244885402246
weighted_overlap,32,true,false,0.6962774957698815,0.8261805876019074
standard_overlap,32,true,false,0.6070604522381172,0.755883710198431
weighted_overlap,32,true,true,0.6481310567604984,0.7758037225042301
standard_overlap,32,true,true,0.4897708044916167,0.659206275957545
weighted_overlap,64,false,false,0.6895093062605753,0.8295646823565606
standard_overlap,64,false,false,0.608444854637748,0.7544993077988001
weighted_overlap,64,false,true,0.6585909860021535,0.7868789417012767
standard_overlap,64,false,true,0.47908014151668976,0.6491309029380096
weighted_overlap,64,true,false,0.6735886786648208,0.817181972004307
standard_overlap,64,true,false,0.6079833871712045,0.7612674973081065
weighted_overlap,64,true,true,0.6398246423627134,0.7728041839716967
standard_overlap,64,true,true,0.49953853253345637,0.6718197200430703
